#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
48,Anthony Bender,MIA,0,60,60,255,3,3,0,5,12,,54,27,24,5,,4,63,22,9.44,3.28,3.67,1.26
49,Camilo Doval,SFG,0,62,62,262,5,3,0,10,12,,49,25,23,5,,3,75,29,10.95,4.14,3.31,1.25
50,Cole Sands,MIN,0,64,64,268,4,3,0,1,15,,56,28,26,8,,4,70,20,9.81,2.8,3.65,1.19
51,Jason Foley,DET,0,63,63,266,4,3,0,12,8,,61,27,25,5,,2,51,18,7.35,2.62,3.54,1.25
52,Brock Burke,LAA,0,66,66,280,3,3,0,3,13,,61,30,28,8,,2,66,23,9.01,3.14,3.85,1.27
53,Tyler Holton,DET,0,72,72,293,4,3,0,6,13,,64,29,27,7,,3,64,18,7.95,2.31,3.4,1.14
54,Will Vest,DET,0,68,68,284,3,3,0,2,12,,61,28,26,6,,2,66,21,8.76,2.8,3.39,1.21
55,Luke Weaver,NYY,0,68,68,285,3,3,0,6,13,,61,32,30,9,,3,73,20,9.63,2.68,3.91,1.2
56,Dylan Lee,ATL,0,62,62,255,4,2,0,0,13,,54,25,23,8,,1,71,18,10.37,2.59,3.32,1.16
57,Kirby Yates,LAD,0,60,60,250,5,3,0,9,11,,46,26,24,7,,4,73,29,10.92,4.34,3.59,1.25
58,Jordan Romano,PHI,0,59,59,248,5,3,0,23,4,,51,27,25,8,,3,64,22,9.81,3.33,3.83,1.24
59,Justin Slaten,BOS,0,65,65,277,4,4,0,2,15,,61,31,28,8,,2,68,24,9.43,3.32,3.91,1.31
60,Reed Garrett,NYM,0,66,66,284,6,5,0,0,15,,56,29,26,7,,2,77,30,10.56,4.05,3.58,1.29
61,Brock Stewart,MIN,0,56,56,233,3,1,0,1,9,,44,21,19,5,,2,72,22,11.55,3.56,3.13,1.18
62,Yimi García,TOR,0,61,61,253,4,3,0,3,14,,52,27,24,8,,3,67,19,9.88,2.83,3.6,1.17
63,Evan Phillips,LAD,0,56,56,228,3,2,0,0,12,,46,22,21,6,,2,63,18,10.09,2.83,3.31,1.13
64,Jesus Tinoco,MIA,0,64,64,272,3,2,0,6,10,,58,29,27,7,,3,64,24,9.04,3.44,3.81,1.29
