#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
424,Henry Davis,PIT,18,63,72,15,9,3,0,2,8,9,7,0,19,2,0,0,1,1,0.233
425,Jordan Beck,COL,100,395,434,97,64,21,2,11,49,48,37,1,123,1,2,0,10,2,0.246
426,Mark Canha,MIL,36,131,154,32,22,7,0,2,17,15,15,0,30,6,1,0,2,0,0.243
427,Drew Millas,WSN,11,41,45,10,7,2,0,1,4,5,4,0,8,0,0,0,1,0,0.243
428,Hao-Yu Lee,DET,10,38,42,10,7,2,1,1,5,5,3,0,9,0,0,0,1,0,0.259
429,Jared Serna,MIA,23,90,98,21,14,5,0,2,12,11,6,0,20,2,1,0,2,1,0.233
430,Nelson Velázquez,KCR,29,113,126,26,15,6,1,5,15,16,11,0,34,1,1,0,2,1,0.232
431,Max Muncy,ATH,13,50,56,12,8,3,0,1,6,7,3,0,18,1,0,1,1,0,0.235
432,DaShawn Keirsey Jr.,MIN,11,45,49,11,8,2,1,1,5,5,3,0,13,1,0,0,2,0,0.251
433,Kyle Farmer,COL,62,241,266,60,41,11,1,6,29,30,16,1,52,7,2,0,2,3,0.248
434,Adam Duvall,,36,141,154,29,16,7,0,7,16,20,10,0,50,2,1,0,0,0,0.207
435,Matt Thaiss,CHW,28,94,109,20,14,4,0,2,11,10,13,0,29,1,1,0,1,0,0.211
436,Blake Sabol,BOS,15,51,58,12,8,2,0,1,6,7,5,0,16,1,0,0,1,0,0.242
437,Michael Toglia,COL,131,504,567,114,65,20,3,25,70,76,57,1,171,3,3,0,7,2,0.226
438,Sam Huff,SFG,11,41,45,9,6,2,0,1,4,5,3,0,15,0,0,0,0,0,0.228
439,Wilmer Flores,SFG,71,274,308,64,42,14,0,9,31,36,27,1,46,4,3,0,0,0,0.234
440,Austin Martin,MIN,28,102,119,24,18,5,1,1,15,11,13,0,21,4,1,1,4,1,0.24
441,Riley Adams,WSN,29,102,115,22,13,6,0,3,10,14,9,0,33,3,1,0,0,0,0.219
442,Adam Frazier,PIT,53,208,231,51,37,10,1,3,27,19,17,0,37,3,1,2,3,1,0.243
443,Casey Schmitt,SFG,11,45,49,11,7,2,0,1,5,6,3,0,11,1,0,0,1,0,0.247
444,Dominic Canzone,SEA,13,51,56,12,8,2,0,2,7,7,4,0,13,0,0,0,1,0,0.242
445,Drew Romo,COL,62,226,243,56,39,10,2,5,25,29,11,0,51,3,2,1,2,2,0.246
446,Myles Straw,TOR,16,63,70,15,11,3,1,0,8,5,6,0,14,0,1,1,3,0,0.233
447,Logan Driscoll,TBR,8,29,32,7,5,2,0,1,4,4,2,0,8,1,0,0,0,0,0.238
448,Manuel Margot,MIL,13,51,56,14,10,3,0,1,6,6,4,0,9,0,0,0,1,0,0.265
449,Max Schuemann,ATH,26,96,112,21,16,4,0,2,14,11,11,0,29,3,1,1,4,1,0.221
450,Deyvison De Los Santos,MIA,81,331,350,84,56,12,1,15,41,45,15,1,97,3,1,0,1,1,0.253
451,Cam Smith,HOU,13,51,56,11,6,2,1,2,8,8,4,0,13,1,0,0,0,0,0.219
452,Robbie Grossman,,28,101,119,23,15,5,0,2,13,11,16,0,29,1,1,0,2,0,0.225
453,Kevin Newman,LAA,55,220,238,54,39,11,1,3,26,20,12,1,38,1,2,3,5,1,0.245
454,Sam Hilliard,COL,52,199,224,46,27,8,2,9,31,28,22,1,71,1,2,1,6,1,0.231
455,Hunter Goodman,COL,76,294,319,70,36,18,1,15,38,51,19,0,86,4,3,0,1,1,0.239
