#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
214,Brooks Lee,MIN,113,453,490,108,72,24,1,10,50,50,33,0,90,1,4,0,4,1,0.238
215,Jonathan Aranda,TBR,89,337,385,84,55,15,1,13,46,43,37,1,97,7,3,0,1,0,0.249
216,Kristian Campbell,BOS,52,195,224,51,33,11,1,6,29,25,23,1,54,4,1,0,5,2,0.262
217,Trey Sweeney,DET,81,317,350,71,45,14,2,9,39,34,27,0,97,3,2,0,10,2,0.222
218,Ryan O'Hearn,BAL,94,369,406,96,62,19,2,13,51,49,31,1,76,3,3,0,3,1,0.26
219,Max Kepler,PHI,115,446,497,108,68,21,2,17,61,61,42,1,97,5,4,0,3,1,0.242
220,José Caballero,TBR,66,252,287,57,39,12,1,5,31,26,25,0,72,7,2,1,27,7,0.227
221,Nolan Schanuel,LAA,128,474,553,121,90,20,1,10,64,46,65,2,89,8,5,2,8,2,0.256
222,Gavin Lux,CIN,113,437,490,111,74,21,3,12,60,48,47,1,106,2,3,0,6,2,0.254
223,Brendan Rodgers,HOU,86,341,371,84,56,17,1,10,40,41,24,0,85,4,2,0,1,0,0.246
224,MJ Melendez,KCR,113,434,490,102,58,23,3,18,61,60,50,1,120,2,4,0,6,3,0.235
225,Spencer Horwitz,PIT,102,382,441,100,69,23,1,8,48,40,51,1,81,5,3,0,3,1,0.262
226,Andrew Vaughn,CHW,144,567,623,145,94,30,1,20,62,66,43,1,124,8,5,0,2,1,0.256
227,Connor Wong,BOS,94,341,371,85,56,18,1,10,40,41,22,0,97,5,2,1,7,3,0.25
228,Travis d'Arnaud,LAA,65,235,257,55,34,11,0,10,28,32,17,0,64,4,2,0,1,0,0.234
229,Harrison Bader,MIN,87,349,378,84,55,17,1,9,41,40,21,0,79,5,3,0,16,5,0.239
230,Victor Caratini,HOU,50,178,200,44,31,8,0,5,22,20,17,0,40,3,2,0,1,0,0.249
231,Ty France,MIN,100,386,434,101,69,21,1,11,49,46,31,1,79,15,3,0,2,1,0.262
232,Lourdes Gurriel Jr.,ARI,130,518,560,138,91,28,2,16,65,65,33,1,102,5,4,0,5,2,0.266
233,Kyle Stowers,MIA,107,414,462,96,53,21,2,19,49,54,38,1,141,6,4,0,2,1,0.231
234,Ceddanne Rafaela,BOS,100,409,434,101,65,21,4,12,52,48,14,0,109,5,4,1,18,5,0.247
235,Javier Báez,DET,79,319,343,75,48,15,1,11,35,37,17,0,86,4,2,0,8,2,0.234
236,Gio Urshela,ATH,89,358,385,94,69,17,1,8,39,34,23,0,66,2,3,0,2,0,0.264
237,Gary Sánchez,BAL,63,227,257,50,29,10,1,11,30,34,24,0,69,4,2,0,1,0,0.22
238,Gabriel Arias,CLE,63,251,273,60,38,13,2,8,30,29,17,0,77,3,2,0,8,2,0.24
239,Alek Thomas,ARI,71,282,308,70,46,15,3,7,39,31,20,0,58,2,3,1,7,2,0.249
240,Colson Montgomery,CHW,107,403,462,82,55,16,1,9,43,35,45,0,133,11,4,0,3,0,0.204
241,Nolan Jones,COL,120,450,518,111,68,24,3,16,57,51,60,1,152,5,4,0,10,4,0.246
242,Ramón Urías,BAL,53,208,231,52,35,10,1,7,28,25,18,0,52,3,1,0,2,1,0.249
243,Jhonkensy Noel,CLE,78,309,336,74,40,16,1,16,37,47,19,1,92,6,3,0,1,0,0.238
244,Jose Trevino,CIN,66,241,262,58,40,11,0,6,25,25,17,0,45,2,2,1,2,1,0.24
245,Jose Miranda,MIN,89,355,385,94,63,20,1,10,44,43,22,1,62,5,3,0,3,1,0.266
246,Alec Burleson,STL,110,439,476,117,80,22,1,15,49,51,30,1,66,3,4,0,6,2,0.266
247,Jordan Lawlar,ARI,52,199,224,47,31,10,2,5,28,22,19,0,57,4,2,0,10,2,0.237
248,Drake Baldwin,ATL,53,187,211,44,30,8,0,5,25,23,21,0,49,2,2,0,0,0,0.235
