#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
49,David Robertson,,0,65,65,272,3,3,0,0,0,0,51,26,24,7,0,3,78,28,10.81,3.84,3.33,1.2,28.67647059,10.29411765
50,David Bednar,PIT,0,64,64,271,3,3,0,28,4,0,55,29,26,7,0,3,67,25,9.45,3.53,3.7,1.26,24.72324723,9.225092251
51,Fernando Cruz,NYY,0,61,61,254,3,3,0,0,13,0,44,24,22,7,0,3,80,28,11.73,4.1,3.29,1.18,31.49606299,11.02362205
52,Colin Holderman,PIT,0,62,62,265,3,3,0,3,13,0,54,26,24,6,0,3,65,26,9.5,3.73,3.51,1.28,24.52830189,9.811320755
53,Jason Foley,DET,0,63,63,266,3,3,0,12,8,0,59,28,26,6,0,3,55,20,7.81,2.85,3.66,1.25,20.67669173,7.518796992
54,Robert Suarez,SDP,0,65,65,270,3,3,0,28,4,0,54,28,26,7,0,3,66,24,9.11,3.37,3.56,1.21,24.44444444,8.888888889
55,Matthew Liberatore,STL,5,65,85,360,3,3,4,2,12,0,80,42,38,9,0,4,75,31,7.92,3.3,4.06,1.31,20.83333333,8.611111111
56,Calvin Faucher,MIA,0,63,63,270,3,3,0,22,6,0,57,30,27,6,0,3,64,28,9.19,3.95,3.87,1.35,23.7037037,10.37037037
57,Reed Garrett,NYM,0,66,66,278,3,3,0,0,15,0,51,26,24,6,0,3,77,30,10.48,4.13,3.25,1.24,27.69784173,10.79136691
58,Liam Hendriks,BOS,0,61,61,253,3,3,0,22,6,0,53,28,26,7,0,3,62,21,9.18,3.09,3.79,1.21,24.50592885,8.300395257
59,Adrian Morejon,SDP,0,61,61,255,3,3,0,1,12,0,52,25,23,6,0,3,65,21,9.53,3.1,3.41,1.2,25.49019608,8.235294118
60,Tim Herrin,CLE,0,62,62,263,3,3,0,0,14,0,52,25,23,6,0,3,67,25,9.68,3.65,3.36,1.25,25.47528517,9.505703422
61,Jared Koenig,MIL,0,62,62,261,3,3,0,2,12,0,55,28,25,7,0,3,59,22,8.6,3.22,3.67,1.24,22.60536398,8.429118774
62,Evan Phillips,LAD,0,56,56,233,3,3,0,0,12,0,45,21,20,6,0,2,64,18,10.33,2.86,3.14,1.13,27.46781116,7.725321888
63,Will Vest,DET,0,68,68,284,4,3,0,2,12,0,60,29,27,7,0,3,66,23,8.73,3.02,3.54,1.22,23.23943662,8.098591549
64,Joel Payamps,MIL,0,61,61,258,3,3,0,2,13,0,52,25,23,7,0,3,63,20,9.3,2.98,3.44,1.18,24.41860465,7.751937984
65,Dylan Lee,ATL,0,62,62,258,3,3,0,0,13,0,53,26,24,8,0,3,71,19,10.24,2.79,3.52,1.16,27.51937984,7.364341085
66,Bryan Hudson,MIL,0,60,60,253,3,3,0,1,11,0,50,24,22,7,0,3,65,22,9.81,3.23,3.35,1.19,25.6916996,8.695652174
67,Justin Anderson,CHW,0,63,63,271,3,3,0,10,10,0,53,29,26,7,0,3,67,31,9.61,4.38,3.78,1.33,24.72324723,11.43911439
68,Kirby Yates,LAD,0,60,60,254,3,3,0,13,10,0,46,26,24,7,0,3,73,29,10.98,4.4,3.62,1.26,28.74015748,11.41732283
69,Jose A. Ferrer,WSN,0,62,62,263,3,3,0,10,11,0,59,29,26,6,0,3,54,21,7.82,3.12,3.79,1.29,20.53231939,7.984790875
70,Manuel Rodriguez,TBR,0,61,61,260,3,3,0,2,13,0,53,25,23,6,0,3,63,22,9.33,3.28,3.36,1.24,24.23076923,8.461538462
71,Emilio Pagan,CIN,0,64,64,272,3,3,0,3,12,0,57,32,29,10,0,3,69,23,9.64,3.29,4.07,1.25,25.36764706,8.455882353
72,Tyler Holton,DET,0,72,72,301,4,4,0,6,13,0,64,31,28,8,0,3,64,20,8.05,2.47,3.51,1.16,21.26245847,6.644518272
73,Taylor Rogers,CIN,0,62,62,265,3,3,0,3,13,0,55,30,28,8,0,3,68,25,9.8,3.69,4.01,1.29,25.66037736,9.433962264
74,Landen Roupp,SFG,5,51,72,309,2,2,4,0,1,0,63,32,29,6,0,3,75,32,9.31,3.94,3.6,1.31,24.27184466,10.35598706
75,Yennier Cano,BAL,0,61,61,255,3,3,0,1,12,0,54,25,23,5,0,3,62,22,9.15,3.27,3.39,1.24,24.31372549,8.62745098
76,Dennis Santana,PIT,0,66,66,285,3,3,0,2,12,0,61,31,29,7,0,3,65,27,8.9,3.75,3.89,1.34,22.80701754,9.473684211
