#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
34,Robert Garcia,TEX,0,64,64,268,3,3,0,8,10,,54,26,24,7,2,3,72,23,10.18,3.27,3.38,1.21
35,Liam Hendriks,BOS,0,61,61,252,3,3,0,22,6,,54,27,25,8,1,2,69,18,10.16,2.61,3.7,1.17
36,Ben Brown,CHC,3,31,46,191,3,2,2,0,1,,38,19,18,5,1,2,54,17,10.51,3.26,3.45,1.19
37,Brock Stewart,MIN,0,56,56,232,3,2,0,1,9,,44,22,20,6,1,2,71,22,11.43,3.46,3.27,1.17
38,Raisel Iglesias,ATL,0,68,68,281,4,3,0,32,1,,60,28,26,8,2,3,75,19,9.97,2.46,3.45,1.16
39,Pete Fairbanks,TBR,0,60,60,250,3,3,0,22,7,,50,25,23,6,1,2,69,23,10.33,3.43,3.41,1.21
40,Ben Joyce,LAA,0,63,63,265,3,3,0,25,5,,50,26,24,6,1,4,79,29,11.28,4.2,3.36,1.25
41,Blake Treinen,LAD,0,59,59,246,3,3,0,6,14,,52,25,23,7,1,3,64,19,9.82,2.85,3.54,1.2
42,Gregory Santos,SEA,0,62,62,260,3,3,0,5,13,,54,25,23,6,1,3,65,23,9.43,3.3,3.34,1.24
43,Yimi García,TOR,0,61,61,252,3,3,0,3,14,,52,26,24,7,2,3,68,19,10.04,2.74,3.5,1.16
44,Matt Brash,SEA,0,48,48,198,3,2,0,0,1,,36,17,16,4,1,2,61,19,11.52,3.64,2.91,1.16
45,Landen Roupp,SFG,5,51,73.1,312,4,4,2,0,1,,66,32,30,7,1,3,74,29,9.04,3.51,3.65,1.29
46,David Bednar,PIT,0,64,64,271,3,3,0,28,4,,56,29,27,7,2,3,69,24,9.65,3.4,3.81,1.26
47,Ryan Pressly,CHC,0,61,61,254,3,3,0,25,5,,55,25,23,6,1,2,64,19,9.47,2.74,3.4,1.21
