#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
845,M.D. Johnson,MIA,17,17,79,361,3,6,,0,0,,88,50,46,12,0,7,52,35,5.92,3.99,5.24,1.56
846,Sean Harney,NYM,7,27,47.1,209,1,2,,0,0,,48,29,27,7,0,5,34,18,6.47,3.42,5.14,1.4
847,Noah Skirrow,PHI,16,22,89,404,4,6,,0,0,,99,58,54,14,0,5,55,39,5.56,3.94,5.46,1.55
848,Eric Cerantola,KCR,6,32,63,288,3,3,,0,0,,59,38,35,8,0,6,60,38,8.57,5.43,5,1.54
849,Jon Duplantier,,7,21,52.1,237,3,4,,0,0,,49,32,30,8,0,4,50,31,8.6,5.33,5.16,1.53
850,Aaron Hernandez,,5,18,34.2,161,2,4,,0,0,,36,23,21,5,0,3,28,20,7.26,5.19,5.45,1.61
851,Tanner Burns,CLE,7,38,68,304,3,5,,0,0,,67,38,35,9,0,3,56,35,7.41,4.63,4.63,1.5
852,Trey Supak,,10,22,74,327,3,5,,0,0,,80,44,41,11,0,6,46,25,5.59,3.04,4.99,1.42
853,Jake Miller,CLE,5,19,40.1,181,3,4,,0,0,,44,25,23,6,0,1,26,17,5.81,3.8,5.14,1.51
854,Baron Stuart,NYY,20,20,93.1,420,5,7,,0,0,,101,62,57,16,0,6,59,39,5.69,3.76,5.5,1.5
855,Ryan Carpenter,,12,12,53.2,245,3,4,,0,0,,60,35,32,9,0,3,34,22,5.7,3.69,5.36,1.53
856,Manuel Espinoza,,16,18,73,322,4,6,,0,0,,80,46,43,14,0,3,51,22,6.29,2.71,5.3,1.4
857,Beau Burrows,,8,25,59.2,273,3,4,,0,0,,62,39,36,9,0,4,47,31,7.09,4.67,5.43,1.56
858,Troy Watson,DET,11,32,66.2,303,3,6,,0,0,,69,41,38,9,1,3,49,34,6.61,4.59,5.13,1.54
859,Drake Fellows,PIT,11,22,64,294,3,5,,0,0,,69,40,37,9,0,3,44,33,6.19,4.64,5.2,1.59
860,David Griffin,,12,18,64.1,290,3,5,,0,0,,69,40,37,10,0,4,43,28,6.02,3.92,5.18,1.51
861,Ian Clarkin,,6,12,36.2,170,2,3,,0,0,,40,23,21,5,0,2,24,18,5.89,4.41,5.15,1.58
862,Ryan Garcia,TEX,21,21,94.2,425,5,8,,0,0,,97,65,60,17,0,5,76,46,7.22,4.37,5.7,1.51
863,Zach Haake,,7,26,50.2,229,2,3,,0,0,,53,32,30,8,0,3,38,24,6.75,4.26,5.33,1.52
864,CJ Van Eyk,TOR,14,24,77.2,352,4,5,,0,0,,84,48,44,12,0,6,51,32,5.91,3.71,5.1,1.49
865,Jimmy Robbins,,13,19,62.1,287,3,5,,0,0,,62,41,38,9,0,6,50,37,7.22,5.35,5.49,1.59
866,Nick Raquet,STL,5,32,75.1,338,4,6,,0,0,,80,43,40,10,1,4,53,31,6.33,3.71,4.78,1.47
867,John Doxakis,,7,24,66.1,302,3,5,,0,0,,67,39,36,8,1,8,49,33,6.65,4.48,4.89,1.51
868,Matthew Thompson,CHC,22,24,93,423,5,7,,0,0,,92,57,53,13,0,6,73,52,7.06,5.03,5.13,1.55
869,Rafael Marcano,MIN,8,25,57.2,267,2,4,,0,0,,61,37,34,8,0,3,45,32,7.02,4.99,5.3,1.61
870,Jerming Rosario,LAD,19,25,93.1,424,5,6,,0,0,,92,61,56,15,0,9,79,50,7.62,4.82,5.4,1.52
871,Jhancarlos Lara,ATL,20,22,83,384,3,5,,0,0,,83,52,48,12,0,7,73,49,7.92,5.31,5.2,1.59
